operator_id_raw,tech_norm,cell_id_dec
46000,4G,4449025
46000,4G,4449026
46000,4G,4449027
46000,4G,4662785
46000,4G,4662786
46000,4G,4671745
46000,4G,4671746
46000,4G,4671747
46000,4G,5024769
46000,4G,5024770
46000,4G,5024771
46000,4G,17221121
46000,4G,17221122
46000,4G,17221131
46000,4G,17447170
46000,4G,17447171
46000,4G,19165241
46000,4G,19165242
46000,4G,19298873
46000,4G,19298874
46000,4G,19298875
46000,4G,19787065
46000,4G,19787066
46000,4G,19787067
46000,4G,19939841
46000,4G,19939842
46000,4G,20158987
46000,4G,20158989
46000,4G,20618242
46000,4G,20618260
46000,4G,20796673
46000,4G,20796675
46000,4G,20796677
46000,4G,20796680
46000,4G,20796681
46000,4G,20796729
46000,4G,20796730
46000,4G,20796731
46000,4G,20803586
46000,4G,20803635
46000,4G,20803636
46000,4G,20803637
46000,4G,20803641
46000,4G,20803642
46000,4G,20803643
46000,4G,20841729
46000,4G,20841730
46000,4G,20841731
46000,4G,21742137
46000,4G,21742138
46000,4G,22443204
46000,4G,22443220
46000,4G,22443259
46000,4G,22443261
46000,4G,22640339
46000,4G,22640341
46000,4G,23070153
46000,4G,23070203
46000,4G,23206089
46000,4G,23206090
46000,4G,23206091
46000,4G,23214537
46000,4G,23214547
46000,4G,23214548
46000,4G,23214549
46000,4G,23214550
46000,4G,23214587
46000,4G,23300811
46000,4G,23300814
46000,4G,23300828
46000,4G,23348938
46000,4G,23348939
46000,4G,24453321
46000,4G,24453322
46000,4G,24453323
46000,4G,25381321
46000,4G,25381324
46000,4G,25674443
46000,4G,25674444
46000,4G,89949898
46000,4G,89949899
46000,4G,90660807
46000,4G,90675914
46000,4G,90675915
46000,4G,91099616
46000,4G,91099617
46000,4G,91099618
46000,4G,91155145
46000,4G,91155155
46000,4G,91155166
46000,4G,91155195
46000,4G,91155196
46000,4G,125844917
46000,4G,125844924
46000,4G,126185879
46000,4G,126185880
46000,4G,126185881
46000,4G,126546819
46000,4G,126546821
46000,4G,127280259
46000,4G,127280260
46000,4G,127280261
46000,4G,127681724
46000,4G,127681725
46000,4G,127830715
46000,4G,127830716
46000,4G,127848323
46000,4G,127848375
46000,4G,128551861
46000,4G,128668603
46000,4G,128668605
46000,4G,128718467
46000,4G,128718477
46000,4G,129012867
46000,4G,129012868
46000,4G,129326978
46000,4G,129326990
46000,4G,129326991
46000,4G,129326998
46000,4G,129329795
46000,4G,129329796
46000,4G,129329797
46000,4G,129329798
46000,4G,129330051
46000,4G,129330052
46000,4G,129989764
46000,4G,129989768
46000,4G,226790082
46000,4G,226790083
46000,4G,227247554
46000,4G,227247555
46000,4G,227247556
46000,4G,227581122
46000,4G,227581123
46000,4G,227581124
46000,4G,227581129
46000,4G,227581130
46000,4G,227581131
46000,4G,227581132
46000,4G,227581135
46000,4G,227581136
46000,4G,227581137
46000,5G,4106977281
46000,5G,4106977282
46000,5G,4106977283
